"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","python.utilities.files.file_contains","scriptize.assets.python.utilities","Sat Sep 06 02:27:27 UTC 2025","passed","Sat Sep 06 02:27:27 UTC 2025","","files","",""
"Verify selection() navigates up and down correctly.","3","test_selection_navigation","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestInteractivePrompts","test_cli","",""
"","0","python.utilities.cli.debug","scriptize.assets.python.utilities","Sat Sep 06 02:27:27 UTC 2025","skipped","Sat Sep 06 02:27:27 UTC 2025","","cli","",""
"","0","python.utilities.cli.fatal","scriptize.assets.python.utilities","Sat Sep 06 02:27:27 UTC 2025","skipped","Sat Sep 06 02:27:27 UTC 2025","","cli","",""
"","0","python.utilities.files.get_parent","scriptize.assets.python.utilities","Sat Sep 06 02:27:27 UTC 2025","passed","Sat Sep 06 02:27:27 UTC 2025","","files","",""
"","1","python.utilities.checks.is_terminal","scriptize.assets.python.utilities","Sat Sep 06 02:27:27 UTC 2025","passed","Sat Sep 06 02:27:27 UTC 2025","","checks","",""
"Verify that a background process is started and can be managed.","215","test_run_background_process","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:29 UTC 2025","TestRunBackgroundFunction","test_shell","",""
"Verify random_line() selects a predictable line with a fixed seed.","0","test_random_line","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestFileContentAnalysis","test_files","",""
"Test the is_numeric function with various inputs.","0","test_is_numeric[value6-False]","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestDataFormatValidation","test_checks","",""
"Test the is_email function with various inputs.","0","test_is_email[not-an-email-False]","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestDataFormatValidation","test_checks","",""
"Test the applications exits if the 'validators' library is missing.","1","test_missing_validators_dependency","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestMockedAndEdgeCases","test_checks","",""
"Test the is_ipv6 function with various inputs.","0","test_is_ipv6[2001:0db8:85a3:0000:0000:8a2e:0370:7334-True]","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestDataFormatValidation","test_checks","",""
