"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test the applications exits if the 'validators' library is missing.","0","test_missing_validators_dependency","test.utilities","Sat Sep 06 02:34:39 UTC 2025","passed","Sat Sep 06 02:34:39 UTC 2025","TestMockedAndEdgeCases","test_checks","",""
"Test the is_ipv6 function with various inputs.","1","test_is_ipv6[1234::5678::9abc-False]","test.utilities","Sat Sep 06 02:34:39 UTC 2025","passed","Sat Sep 06 02:34:39 UTC 2025","TestDataFormatValidation > test_is_ipv6[1234 > 5678","test_checks","",""
"Verify backup_file() creates a backup with a timestamp.","0","test_backup_file_with_timestamp","test.utilities","Sat Sep 06 02:34:39 UTC 2025","passed","Sat Sep 06 02:34:39 UTC 2025","TestFileOperations","test_files","",""
"Verify error() logs at the ERROR level without a traceback.","0","test_error_without_traceback","test.utilities","Sat Sep 06 02:34:39 UTC 2025","passed","Sat Sep 06 02:34:39 UTC 2025","TestAlertFunctions","test_cli","",""
"Test the is_true function with various inputs.","0","test_is_true[True-True]","test.utilities","Sat Sep 06 02:34:39 UTC 2025","passed","Sat Sep 06 02:34:39 UTC 2025","TestBooleanValueChecks","test_checks","",""
"","0","python.utilities.cli.error","scriptize.assets.python.utilities","Sat Sep 06 02:34:37 UTC 2025","skipped","Sat Sep 06 02:34:37 UTC 2025","","cli","",""
"Verify root/admin privilege check matches the OS's report.","0","test_is_root","test.utilities","Sat Sep 06 02:34:38 UTC 2025","passed","Sat Sep 06 02:34:38 UTC 2025","TestSystemChecks","test_checks","",""
"","0","python.utilities.cli.info","scriptize.assets.python.utilities","Sat Sep 06 02:34:37 UTC 2025","skipped","Sat Sep 06 02:34:37 UTC 2025","","cli","",""
"","0","python.utilities.cli.fatal","scriptize.assets.python.utilities","Sat Sep 06 02:34:37 UTC 2025","skipped","Sat Sep 06 02:34:37 UTC 2025","","cli","",""
"Verify framed_box() uses correct and fallback styles.","1","test_framed_box_styles[success-green]","test.utilities","Sat Sep 06 02:34:39 UTC 2025","passed","Sat Sep 06 02:34:39 UTC 2025","TestUIElements","test_cli","",""
"Verify random_line() selects a predictable line with a fixed seed.","1","test_random_line","test.utilities","Sat Sep 06 02:34:39 UTC 2025","passed","Sat Sep 06 02:34:39 UTC 2025","TestFileContentAnalysis","test_files","",""
"Verify the 'msvcrt' module is imported on Windows.","1","test_import_on_windows","test.utilities","Sat Sep 06 02:34:39 UTC 2025","passed","Sat Sep 06 02:34:39 UTC 2025","TestInternalHelpers","test_cli","",""
